Row Labels;Count of visitId
4,84E+13;1
6,23E+13;1
8,51E+13;1
1,70E+14;1
2,49E+14;1
2,77E+14;1
2,89E+14;1
2,93E+14;2
3,57E+14;1
3,82E+14;2
3,99E+14;1
4,37E+14;2
4,50E+14;1
4,81E+14;1
5,10E+14;1
5,24E+14;1
5,72E+14;1
6,62E+14;2
6,71E+14;2
7,62E+14;1
8,07E+14;1
8,07E+14;1
8,53E+14;1
8,85E+14;1
9,29E+14;1
9,39E+14;6
1,01E+15;1
1,02E+15;1
1,02E+15;2
1,08E+15;1
1,08E+15;1
1,21E+15;1
1,29E+15;2
1,30E+15;1
1,40E+15;1
1,43E+15;1
1,46E+15;1
1,53E+15;1
1,56E+15;2
1,58E+15;1
1,67E+15;1
1,70E+15;1
1,73E+15;1
1,73E+15;1
1,75E+15;1
1,75E+15;1
1,83E+15;1
2,02E+15;1
2,10E+15;1
2,11E+15;1
2,12E+15;1
2,20E+15;2
2,24E+15;1
2,25E+15;1
2,28E+15;1
2,29E+15;1
2,46E+15;1
2,50E+15;1
2,51E+15;1
2,54E+15;1
2,55E+15;1
2,57E+15;1
2,62E+15;1
2,65E+15;1
2,67E+15;1
2,73E+15;1
2,78E+15;2
2,84E+15;1
2,94E+15;1
3,06E+15;1
3,38E+15;1
3,41E+15;1
3,41E+15;1
3,44E+15;1
3,46E+15;2
3,52E+15;1
3,56E+15;1
3,57E+15;1
3,63E+15;1
3,64E+15;1
3,68E+15;1
3,71E+15;1
3,72E+15;1
3,76E+15;1
3,79E+15;1
3,81E+15;1
3,83E+15;1
3,85E+15;1
3,85E+15;1
3,88E+15;1
3,90E+15;1
4,04E+15;1
4,07E+15;1
4,10E+15;1
4,41E+15;1
4,50E+15;2
4,62E+15;1
4,63E+15;1
4,67E+15;1
4,77E+15;1
4,89E+15;1
4,89E+15;1
4,92E+15;1
4,92E+15;1
4,93E+15;1
4,94E+15;1
4,95E+15;1
5,01E+15;1
5,01E+15;4
5,03E+15;1
5,09E+15;2
5,11E+15;1
5,13E+15;1
5,15E+15;1
5,16E+15;1
5,16E+15;1
5,22E+15;2
5,28E+15;1
5,35E+15;1
5,39E+15;1
5,50E+15;2
5,56E+15;1
5,61E+15;1
5,64E+15;1
5,64E+15;1
5,71E+15;1
5,73E+15;1
5,80E+15;1
5,85E+15;1
5,88E+15;1
5,93E+15;1
5,95E+15;1
5,98E+15;1
5,98E+15;1
6,08E+15;1
6,12E+15;1
6,15E+15;3
6,15E+15;1
6,18E+15;1
6,26E+15;1
6,28E+15;1
6,30E+15;1
6,33E+15;1
6,36E+15;1
6,38E+15;1
6,39E+15;1
6,46E+15;1
6,48E+15;1
6,62E+15;1
6,66E+15;1
6,66E+15;1
6,72E+15;1
6,78E+15;1
6,80E+15;1
6,81E+15;1
6,87E+15;1
6,87E+15;1
6,91E+15;3
6,93E+15;1
7,00E+15;1
7,04E+15;1
7,14E+15;2
7,17E+15;1
7,21E+15;1
7,23E+15;1
7,25E+15;1
7,32E+15;1
7,37E+15;1
7,57E+15;1
7,59E+15;1
7,69E+15;1
7,73E+15;1
7,80E+15;1
7,85E+15;1
7,86E+15;1
7,87E+15;1
7,94E+15;1
7,97E+15;1
8,00E+15;3
8,00E+15;1
8,00E+15;1
8,03E+15;1
8,04E+15;1
8,12E+15;1
8,12E+15;1
8,13E+15;1
8,15E+15;1
8,17E+15;1
8,22E+15;1
8,22E+15;1
8,25E+15;1
8,26E+15;1
8,27E+15;1
8,28E+15;1
8,28E+15;1
8,28E+15;1
8,29E+15;1
8,42E+15;1
8,45E+15;2
8,62E+15;1
8,77E+15;1
8,94E+15;1
8,98E+15;1
9,06E+15;1
9,14E+15;1
9,18E+15;1
9,18E+15;1
9,18E+15;1
9,35E+15;1
9,49E+15;1
9,59E+15;1
9,63E+15;1
9,64E+15;1
9,65E+15;1
9,66E+15;2
9,73E+15;1
9,82E+15;1
9,83E+15;3
9,84E+15;1
9,90E+15;1
9,98E+15;2
1,00E+16;1
1,00E+16;1
1,01E+16;5
1,02E+16;2
1,03E+16;2
1,03E+16;1
1,03E+16;2
1,04E+16;1
1,06E+16;4
1,06E+16;1
1,07E+16;1
1,07E+16;1
1,08E+16;1
1,09E+16;1
1,09E+16;1
1,09E+16;1
1,09E+16;1
1,10E+16;1
1,10E+16;1
1,11E+16;1
1,15E+16;1
1,15E+16;2
1,16E+16;1
1,17E+16;2
1,17E+16;1
1,17E+16;1
1,17E+16;5
1,18E+16;3
1,19E+16;1
1,21E+16;1
1,21E+16;1
1,23E+16;1
1,23E+16;1
1,23E+16;1
1,24E+16;1
1,24E+16;1
1,25E+16;1
1,26E+16;1
1,27E+16;1
1,28E+16;1
1,28E+16;2
1,29E+16;2
1,29E+16;1
1,29E+16;1
1,30E+16;1
1,30E+16;2
1,31E+16;1
1,32E+16;1
1,32E+16;1
1,33E+16;1
1,33E+16;1
1,35E+16;1
1,36E+16;1
1,36E+16;1
1,38E+16;1
1,39E+16;1
1,39E+16;1
1,39E+16;1
1,40E+16;1
1,42E+16;1
1,42E+16;1
1,43E+16;1
1,43E+16;5
1,43E+16;3
1,43E+16;1
1,43E+16;1
1,45E+16;1
1,45E+16;2
1,45E+16;1
1,45E+16;13
1,45E+16;1
1,46E+16;1
1,47E+16;1
1,47E+16;1
1,49E+16;1
1,50E+16;1
1,50E+16;1
1,51E+16;1
1,53E+16;1
1,53E+16;1
1,54E+16;1
1,55E+16;1
1,56E+16;1
1,56E+16;1
1,56E+16;1
1,56E+16;1
1,56E+16;1
1,57E+16;1
1,57E+16;1
1,57E+16;1
1,58E+16;1
1,58E+16;1
1,59E+16;1
1,59E+16;1
1,59E+16;1
1,61E+16;1
1,61E+16;1
1,61E+16;3
1,61E+16;1
1,61E+16;1
1,63E+16;1
1,63E+16;1
1,63E+16;1
1,64E+16;1
1,64E+16;1
1,64E+16;1
1,65E+16;1
1,65E+16;1
1,66E+16;3
1,66E+16;1
1,67E+16;1
1,68E+16;1
1,68E+16;1
1,69E+16;2
1,70E+16;1
1,70E+16;1
1,70E+16;2
1,72E+16;2
1,73E+16;1
1,73E+16;1
1,73E+16;2
1,73E+16;1
1,74E+16;1
1,74E+16;1
1,75E+16;1
1,77E+16;1
1,77E+16;1
